,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,yellowknife,62.45,-29.74,66,20,2.1
1,nalut,31.86,54.39,30,0,5.69
2,westport,41.14,25.95,50,1,3.1
3,khatanga,71.98,-7.8,88,100,3.55
4,padang,-0.92,78.57,70,100,0.57
5,surt,31.21,57.09,41,0,9.55
6,hilo,19.71,65.88,94,20,2.1
7,asau,NAN,NAN,94,NAN,NAN
8,yirol,NAN,NAN,94,NAN,NAN
9,nikolskoye,59.7,28.8,79,90,3
10,kirakira,-10.46,78.04,88,100,2.79
11,fasa,28.94,57.2,47,0,3.1
12,vostok,46.45,-4.83,98,100,2.87
13,vestmanna,62.16,35.6,93,80,9.8
14,haibowan,NAN,NAN,93,NAN,NAN
15,bakel,14.9,76.6,13,100,6.94
16,hermanus,-34.42,76.37,71,100,5.36
17,east london,-33.02,66.2,93,90,6.7
18,cape town,-33.93,76.17,60,20,1.5
19,torbay,47.66,25.47,85,90,3.1
20,bambous virieux,-20.34,86.27,66,40,7.7
21,jamestown,-33.21,67.39,43,90,7.66
22,vaini,15.34,81.52,44,20,2.1
23,bredasdorp,-34.53,71.71,68,90,5.1
24,busselton,-33.64,97.7,6,0,6.47
25,mataura,-46.19,57.99,89,100,4.02
26,saint-philippe,45.36,15.44,52,1,7.2
27,maues,-3.38,72.28,98,100,1.38
28,airai,-8.93,75.56,69,92,2.17
29,pereira barreto,-20.64,70.52,95,100,2.43
30,pemba,-12.97,91.4,59,20,4.1
31,swidnica,50.84,29.86,86,39,1.5
32,barentsburg,NAN,NAN,86,NAN,NAN
33,iquique,-20.22,66.2,63,20,3.1
34,ilebo,-4.33,89.49,47,84,0.68
35,nome,30.04,39.83,81,1,2.6
36,mahebourg,-20.41,86.22,66,40,7.7
37,praya,-8.71,78.8,78,75,0.5
38,alofi,-19.06,77,94,99,0.5
39,taolanaro,NAN,NAN,94,NAN,NAN
40,calituban,10.24,86,70,75,5.1
41,solnechnyy,50.72,-6.41,93,51,1.12
42,lebu,8.96,66.2,52,40,6.7
43,stutterheim,-32.57,66.2,93,90,6.7
44,tasiilaq,65.61,18.95,83,100,12.78
45,victoria,5.28,81.61,88,75,1.5
46,kenitra,34.26,53.02,100,40,2.1
47,magadan,59.56,-2.02,77,16,4.72
48,port alfred,-33.59,64.99,96,92,3.13
49,ribeira grande,38.52,59,58,75,3.1
50,bluff,-23.58,90.7,25,69,4.21
51,upernavik,72.79,3,61,29,4.8
52,codrington,-28.95,77.45,74,90,2.6
53,bethel,60.79,26.58,79,90,4.6
54,palm coast,29.55,65.97,77,90,4.6
55,barrow,-38.31,57.79,60,0,9.88
56,kropotkin,45.43,43.25,65,0,6.49
57,ambon,47.55,51.17,87,90,8.2
58,puerto ayora,-0.74,71.01,91,0,4.76
59,kapaa,22.08,72.32,88,40,3.1
60,samusu,NAN,NAN,88,NAN,NAN
61,selma,32.41,34.59,59,0,3.29
62,carnarvon,-30.97,83.44,13,0,4.21
63,hobart,-42.88,55.09,29,6,7.2
64,rikitea,-23.12,73.78,84,100,11.01
65,new norfolk,-42.78,55.13,29,37,7.2
66,kuche,NAN,NAN,29,NAN,NAN
67,arraial do cabo,-22.97,73.4,94,90,3.6
68,saint-pierre,48.95,37.31,93,90,6.2
69,cagayan de tawi-tawi,NAN,NAN,93,NAN,NAN
70,yatou,3.63,80.6,94,40,0.3
71,punta arenas,-53.16,44.29,75,40,9.8
72,la ronge,55.1,-9.36,67,5,1.44
73,atuona,-9.8,79.59,65,12,3.46
74,sorvag,NAN,NAN,65,NAN,NAN
75,attawapiskat,NAN,NAN,65,NAN,NAN
76,komsomolskiy,67.55,6.93,96,95,2.08
77,pangody,65.85,9.52,95,98,4.45
78,saskylakh,71.97,-29.04,95,0,3.24
79,tiksi,71.64,-28.73,87,3,2.22
80,pacific grove,36.62,56.05,82,90,2.1
81,bandar-e lengeh,26.56,75.2,47,23,2.1
82,balaka,-14.99,91.56,41,100,2.63
83,lompoc,34.64,51.8,100,90,5.22
84,aitape,-3.15,83.84,73,100,3.41
85,marsa matruh,31.35,62.38,87,40,2.1
86,srednekolymsk,67.46,-17.95,93,100,2.62
87,albany,42.65,19.49,62,20,1.5
88,paamiut,61.99,32.58,62,100,3.33
89,seoul,37.57,34.95,47,1,1
90,margate,-43.03,55.11,29,6,7.2
91,ningan,NAN,NAN,29,NAN,NAN
92,vaitupu,NAN,NAN,29,NAN,NAN
93,jian,25.65,76.66,43,100,1.77
94,klaksvik,62.23,35.6,93,91,9.8
95,cabo san lucas,22.89,59.58,75,78,1.33
96,micheweni,-4.97,83.01,75,0,4.65
97,caravelas,-17.73,71.13,91,0,2.47
98,quelimane,-17.88,89.64,61,100,0.63
99,laguna,16.17,69.55,99,82,1.11
100,penzance,50.12,50.7,100,75,10.8
101,sidney,47.72,9.39,85,90,2.6
102,rohnert park,38.34,55.29,100,90,1.5
103,butaritari,3.07,84.87,75,56,5.53
104,price,39.6,26.49,92,90,1.5
105,thompson,55.74,-23.8,74,20,2.6
106,severo-kurilsk,50.68,27.32,93,100,6.24
107,chuy,-33.69,67.15,88,89,4.07
108,austin,30.27,35.87,80,90,2.19
109,hithadhoo,-0.6,82.9,70,52,3.71
110,faanui,-16.48,80.56,73,99,2.53
111,honiara,-9.43,82.4,83,40,1
112,faya,18.39,69.91,55,20,5.7
113,amarante do maranhao,-5.57,69.82,92,93,1.22
114,ushuaia,-54.81,39.2,86,90,4.1
115,sao joao da barra,-21.64,74.37,90,100,5.55
116,kamwenge,0.19,71.98,85,64,1.2
117,kloulklubed,7.04,84.2,74,75,3.6
118,cherskiy,68.75,-9.35,97,100,4.42
119,vanimo,-2.67,83.28,75,100,4.72
120,touros,-5.2,73.4,94,40,1.5
121,aleksandrov gay,50.14,32.34,91,83,3.93
122,port blair,11.67,79.83,73,80,5.87
123,tilichiki,60.47,-5.37,91,64,2.17
124,stokmarknes,68.56,36.72,60,43,7.2
125,voi,-3.4,80.98,63,12,1.84
126,ahipara,-35.17,64,82,0,4.59
127,kashi,NAN,NAN,82,NAN,NAN
128,coahuayana,18.62,67.55,60,42,1.05
129,kodiak,39.95,39.78,55,1,6.7
130,robore,-18.33,72.9,83,100,2.75
